id,site,nom,version,trad_version,lien_trad,statut,tags,type_moteur,traducteur,relecteur,type_trad,ac,image_url,trad_url,translator_url
106028,F95z,Westview Academy,S2 v0.7.0,S2 v0.7.0,Traduction,EN COURS,"3dcg, animated, big ass, big tits, creampie, dating sim, handjob, humor, interracial, lesbian, male protagonist, milf, oral sex, point & click, romance, stripping, teasing, vaginal sex, virgin, voyeurism",RenPy,Blackviper_,,Traduction Humaine,true,https://attachments.f95zone.to/2025/02/4546406_ZoneBanner.png,,
51349,F95z,What a Legend!,v0.7.05,v0.7.05,Traduction,EN COURS,"2dcg, adventure, anal sex, animated, big ass, big tits, cheating, creampie, exhibitionism, fantasy, groping, group sex, handjob, harem, humor, male protagonist, masturbation, milf, monster girl, oral sex, paranormal, point & click, romance, sandbox, sex toys, spanking, teasing, titfuck, transformation, vaginal sex, voyeurism",RenPy,Frelon31,,Traduction Automatique,true,https://attachments.f95zone.to/2020/10/889064_f95_cover2.jpg,,
422,LewdCorner,What Brothers are For,v1.0,v1.0,Traduction,TERMINÉ,"3dcg, loli, oral sex, shota, small tits, vaginal sex",RenPy,Traducteur Anonyme,,Traduction Semi-Automatique,false,https://lewdcorner.com/attachments/3-png.4293/,,
19856,F95z,Where It All Began,S1 Ch.4 Fix 1 Steam,S1 Ch.4 Fix 1 Steam,Traduction,EN COURS,"3dcg, animated, big ass, big tits, creampie, exhibitionism, groping, male protagonist, milf, mobile game, netorare, oral sex, romance, teasing, vaginal sex",RenPy,Tomberaid,,Traduction Humaine,true,https://attachments.f95zone.to/2025/07/5036497_cover.jpg,,
19856,F95z,Where It All Began (Uncut Taboo Edition),S1 Ch.4 Fix 1 Steam,S1 Ch.4 Fix 1 Steam,Traduction (mod inclus),EN COURS,"3dcg, animated, big ass, big tits, creampie, exhibitionism, groping, male protagonist, milf, mobile game, netorare, oral sex, romance, teasing, vaginal sex",RenPy,Envy*,,Traduction Automatique,true,https://attachments.f95zone.to/2025/07/5036497_cover.jpg,,
10549,F95z,Where the Heart Is,S1 Rev1,S1 Rev1,Traduction,TERMINÉ,"3dcg, anal sex, animated, big ass, big tits, cheating, corruption, cosplay, creampie, exhibitionism, footjob, groping, group sex, handjob, harem, humiliation, humor, interracial, lesbian, male domination, male protagonist, milf, oral sex, pov, pregnancy, romance, spanking, teasing, titfuck, vaginal sex, virgin, voyeurism",RenPy,Frelon31,,Traduction Automatique,false,https://attachments.f95zone.to/2020/10/868564_bannerfin.png,,
10549,F95z,Where the Heart Is,EP25,EP25,Traduction,TERMINÉ,"3dcg, anal sex, animated, big ass, big tits, cheating, corruption, cosplay, creampie, exhibitionism, footjob, groping, group sex, handjob, harem, humiliation, humor, interracial, lesbian, male domination, male protagonist, milf, oral sex, pov, pregnancy, romance, spanking, teasing, titfuck, vaginal sex, virgin, voyeurism",RenPy,Frelon31,,Traduction Automatique,true,https://attachments.f95zone.to/2020/10/868564_bannerfin.png,,
249809,F95z,Whispers of Desire,v0.5,Intégrée,Intégrée,EN COURS,"3dcg, animated, cheating, corruption, exhibitionism, female protagonist, interracial, male protagonist, masturbation, multiple endings, multiple protagonist, netorare, oral sex, swinging, teasing, vaginal sex, voyeurism",RenPy,,,Traduction Automatique,true,https://attachments.f95zone.to/2025/03/4715956_cover_page_updated_color_with_logo.png,,
278995,F95z,White Boy Summer,v0.6,v0.6,Traduction,EN COURS,"3dcg, ahegao, anal sex, animated, big ass, big tits, bukkake, cheating, creampie, dating sim, exhibitionism, fantasy, female domination, footjob, furry, futa/trans, groping, group sex, handjob, humiliation, humor, interracial, lactation, male domination, male protagonist, milf, netorare, oral sex, pov, pregnancy, prostitution, religion, romance, sandbox, sex toys, sissification, stripping, teasing, titfuck, urination, vaginal sex, virgin, voyeurism",RenPy,Virusf,,Traduction Automatique,true,https://attachments.f95zone.to/2025/11/5512585_new_banner.png,,
105735,F95z,White Cube,v0.5d,v0.5d,Traduction,EN COURS,"3dcg, anal sex, animated, big ass, big tits, cheating, corruption, exhibitionism, female protagonist, horror, kinetic novel, lesbian, male domination, male protagonist, masturbation, multiple protagonist, oral sex, point & click, pov, teasing, urination, vaginal sex",RenPy,Virusf,,Traduction Automatique,true,https://attachments.f95zone.to/2022/01/1628161_1627559_background_f95.jpg,,
97910,F95z,Who Fucked Max,Final,Final,Traduction,TERMINÉ,"2dcg, animated, mobile game, vaginal sex",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2021/10/1490168_cover.jpg,,
6304,F95z,Whores of Thrones,S03 E10a,S03 E10a,Traduction,EN COURS,"3dcg, anal sex, animated, bdsm, big tits, corruption, creampie, dilf, exhibitionism, female protagonist, footjob, graphic violence, groping, group sex, handjob, humiliation, lesbian, male domination, male protagonist, masturbation, milf, mobile game, multiple endings, multiple penetration, multiple protagonist, parody, pregnancy, religion, sandbox, sex toys, spanking, stripping, titfuck, urination, vaginal sex, virgin, voyeurism",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2022/02/1683204_wot_cover_image_wide_2022.jpg,,
6304,F95z,Whores of Thrones,S1 et S2,S1 et S2,Traduction,EN COURS,"3dcg, anal sex, animated, bdsm, big tits, corruption, creampie, dilf, exhibitionism, female protagonist, footjob, graphic violence, groping, group sex, handjob, humiliation, lesbian, male domination, male protagonist, masturbation, milf, mobile game, multiple endings, multiple penetration, multiple protagonist, parody, pregnancy, religion, sandbox, sex toys, spanking, stripping, titfuck, urination, vaginal sex, virgin, voyeurism",RenPy,Fx_oO7,,Traduction Automatique,false,https://attachments.f95zone.to/2022/02/1683204_wot_cover_image_wide_2022.jpg,,
5925,F95z,Wicked Choices: Book One,Remastered v1.0.1,Remastered v1.0.1,Traduction,TERMINÉ,"3dcg, adventure, anal sex, cheating, corruption, exhibitionism, fantasy, female domination, female protagonist, futa/trans, group sex, humiliation, lesbian, male domination, male protagonist, masturbation, milf, mobile game, multiple endings, multiple penetration, multiple protagonist, oral sex, religion, sci-fi, sex toys, tentacles, transformation, vaginal sex, voyeurism",RenPy,LeRebel71,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2017/10/40463_UNI4cBgJYTKhgQmHKNWs6fDjQXxu0cC4VEJ7VlF8YvSySRBO4Fsa_3h-8aJ6yA89.png,,
237238,F95z,Wicked Warlocks,v0.1.10,v0.1.10,Traduction,EN COURS,"2dcg, anal sex, animated, big ass, big tits, creampie, dating sim, handjob, male protagonist, oral sex, point & click, prostitution, romance, sandbox, vaginal sex, voyeurism",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2025/02/4616598_6c59b4a2-7d05-4ab2-9505-0a3d5a9492e3.gif,,
56345,F95z,Wife at All Costs,v0.9,v0.9,Traduction,ABANDONNÉ,"3dcg, cheating, corruption, exhibitionism, groping, handjob, humiliation, male domination, netorare, oral sex, vaginal sex, voyeurism",RenPy,Franky28,,Traduction Humaine,true,https://attachments.f95zone.to/2021/06/1280329_bannermoglieatutticostinew.png,,
158392,F95z,Wife in the Building!,v.0.5.0 Beta,v.0.5.0 Beta,Traduction,EN COURS,"2dcg, big tits, exhibitionism, groping, male protagonist, milf, netorare, oral sex, romance, swinging, teasing, vaginal sex, voyeurism",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2023/09/2993713_Cover_pic_2.png,,
206899,F95z,Wife of My Boss,Final + DLC,Final + DLC,Traduction,TERMINÉ,"2dcg, adventure, ahegao, big ass, big tits, cheating, corruption, creampie, groping, kinetic novel, male domination, male protagonist, oral sex, teasing, vaginal sex",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2024/05/3635320_cover.jpg,,
237058,F95z,Wife Promotion,Ch.3.1,Ch.3.1,Traduction,EN COURS,"2dcg, ai cg, anal sex, big ass, big tits, corruption, interracial, male domination, male protagonist, netorare, oral sex, pov, romance, stripping, teasing, vaginal sex",RenPy,dranreb,,Traduction Humaine,true,https://attachments.f95zone.to/2024/12/4385026_1734783404516.png,,
